ticker,name,sector,asset_type,current_price,market_cap,revenue,net_income,total_equity,net_debt,roe,net_margin,debt_ebitda,ev_ebitda,net_income_growth_yoy,pe_ratio,pb_ratio,dividend_yield,dividend_growth_yoy,score,score_label
MRVE3,MRV ON NM,Construção Civil,stock,622.0,3500840000.0,11399200000.0,-761100000.0,5214700000.0,7931290000.0,-1.46,-0.66,,,,-460.0,67.0,0.0,,24.0,Fraco
MSAN3,BUNGE BRASIL S.A. ON,,stock,644.0,0.0,19396100000.0,299068000.0,2533030000.0,255972000.0,1.18,0.24,,21.0,,,,0.0,,61.3,Bom
MSAN4,BUNGE BRASIL S.A. PN,,stock,644.0,0.0,19396100000.0,299068000.0,2533030000.0,255972000.0,1.18,0.24,,21.0,,,,0.0,,61.3,Bom
MSPA3,MELHORAMENTOS ON,Madeira e Papel,stock,4700.0,301035000.0,177091000.0,-32702000.0,811958000.0,178740000.0,-0.4,-1.85,,,,,37.0,0.0,,30.0,Regular
MSPA4,MELHORAMENTOS PN,Madeira e Papel,stock,4100.0,262605000.0,177091000.0,-32702000.0,811958000.0,178740000.0,-0.4,-1.85,,,,,32.0,0.0,,30.0,Regular
MTBR3,WHIRLPOOL S.A. ON,Utilidades Domésticas,stock,99.0,1487760000.0,12363500000.0,328399000.0,1918220000.0,115708000.0,1.71,0.27,,109.0,,453.0,78.0,0.0,,52.5,Bom
MTBR4,WHIRLPOOL S.A. PN,Utilidades Domésticas,stock,105.0,1577930000.0,12363500000.0,328399000.0,1918220000.0,115708000.0,1.71,0.27,,116.0,,480.0,82.0,0.0,,52.5,Bom
MTIG3,IGUAÇU ON,Embalagens,stock,521.0,637449000.0,50250200.0,-56828500.0,-7835380.0,37515400.0,,,,,,,,0.0,,44.0,Regular
MTIG4,IGUAÇU PN,Embalagens,stock,2300.0,2814070000.0,50250200.0,-56828500.0,-7835380.0,37515400.0,,,,,,,,0.0,,44.0,Regular
MTRE3,MITRE REALTY ON NM,Construção Civil,stock,351.0,371270000.0,1100730000.0,60898000.0,1019050000.0,485026000.0,0.6,0.8,,,0.155602,,36.0,,,75.0,Excelente
MTSA4,METISA PN,Máquinas e Equipamentos,stock,5650.0,496620000.0,522323000.0,38857400.0,463119000.0,-160032000.0,0.84,0.74,,,-0.237494,,,0.74,,65.19,Bom
MULT3,Multiplan ON N2,Exploração de Imóveis,stock,2947.0,15122900000.0,3040380000.0,1223220000.0,6475350000.0,4507770000.0,1.89,,,,0.140478,,,0.37,,72.5,Bom
MWET3,WETZEL S.A. ON,Material de Transporte,stock,1600.0,32928000.0,191211000.0,-32664000.0,-7726000.0,109476000.0,,-1.71,,,,-101.0,,0.0,,34.0,Regular
MWET4,WETZEL S.A. PN,Material de Transporte,stock,1380.0,28400400.0,191211000.0,-32664000.0,-7726000.0,109476000.0,,-1.71,,,,-87.0,,0.0,,34.0,Regular
MYPK3,IOCHPE-MAXION ON,Automóveis e Motocicletas,stock,915.0,1406540000.0,15235800000.0,91411000.0,4098170000.0,3841380000.0,0.22,0.14,,,-0.293455,,34.0,0.34,,62.75,Bom
MYPK4,IOCHPE-MAXION PN,Automóveis e Motocicletas,stock,3179.0,4886760000.0,15235800000.0,91411000.0,4098170000.0,3841380000.0,0.22,0.14,,,,,,0.0,,50.25,Bom
NAFG3,NADIR FIGUEIREDO ON,,stock,6437.0,874080000.0,793252000.0,74085000.0,316392000.0,153160000.0,2.34,0.93,,,,,,0.0,,52.5,Bom
NAFG4,NADIR FIGUEIREDO PN,,stock,6442.0,874759000.0,793252000.0,74085000.0,316392000.0,153160000.0,2.34,0.93,,,,,,0.0,,52.5,Bom
NATU3,NATURA COSMETICOS SA ON,Produtos de Uso Pessoal e de Limpeza,stock,994.0,13663100000.0,21733800000.0,-2326500000.0,12462400000.0,3996520000.0,-1.87,-1.07,,,0.157658,,,0.0,,37.5,Regular
NEOE3,NEOENERGIA ON NM,Energia Elétrica,stock,3380.0,41026300000.0,53663000000.0,5314000000.0,37726000000.0,51648000000.0,1.41,1.0,,,0.021642,,,0.33,,68.25,Bom
NETC3,NET SERVIÇOS DE COMUNICAÇÃO S.A. ON,,stock,3850.0,14426800000.0,11182600000.0,117198000.0,6812390000.0,1775560000.0,0.17,0.16,,,,,,0.0,,48.0,Regular
NETC4,NET SERVIÇOS DE COMUNICAÇÃO S.A. PN,,stock,4000.0,14988900000.0,11182600000.0,117198000.0,6812390000.0,1775560000.0,0.17,0.16,,,,,,0.0,,48.0,Regular
NEXP3,NEXPE ON,Exploração de Imóveis,stock,260.0,6904480.0,743000.0,-30767000.0,-105814000.0,56000.0,2.91,,,,,-22.0,,0.0,,51.5,Bom
NGRD3,NEOGRID ON NM,Programas e Serviços,stock,3332.0,304576000.0,267387000.0,-9826000.0,434557000.0,-115103000.0,-0.23,-0.37,,,,,70.0,0.0,,30.4,Regular
